Departamento,Municipio,cod_mun,Altura,Clima
Bolívar,Cartagena,13001, 1 ,Cálido húmedo
Cauca,Padilla,19513, 1 ,Templado
Antioquia,Turbo,5837, 2 ,Cálido húmedo
Córdoba,San Bernardo del Viento,23675, 2 ,Cálido seco
La Guajira,Dibulla,44090, 2 ,Cálido seco
Magdalena,Puebloviejo,47570, 2 ,Cálido seco
Nariño,El Charco,52250, 2 ,Cálido húmedo
Bolívar,Talaigua Nuevo,13780, 3 ,Cálido seco
La Guajira,Riohacha,44001, 3 ,Cálido seco
La Guajira,Manaure,44560, 3 ,Cálido seco
Magdalena,Pivijay,47551, 3 ,Cálido húmedo
Nariño,Tumaco,52835, 3 ,Cálido húmedo
Sucre,Tolú,70820, 3 ,Cálido seco
Cauca,Guapí,19318, 4 ,Cálido húmedo
Cauca,Timbiquí,19809, 4 ,Cálido húmedo
Sucre,Coveñas,70221, 4 ,Cálido seco
Atlántico,Puerto Colombia,8573, 5 ,Cálido húmedo
Atlántico,Soledad,8758, 5 ,Cálido húmedo
Córdoba,Moñitos,23500, 5 ,Cálido seco
Córdoba,San Antero,23672, 5 ,Cálido seco
Córdoba,Tuchín,23815, 5 ,Cálido seco
Chocó,Acandí,27006, 5 ,Cálido húmedo
Chocó,Medio Baudó,27430, 5 ,Cálido húmedo
Chocó,Nuquí,27495, 5 ,Cálido húmedo
Magdalena,Sitionuevo,47745, 5 ,Cálido húmedo
Magdalena,Salamina,47675, 6 ,Cálido húmedo
Atlántico,Campo de la Cruz,8137, 7 ,Cálido húmedo
Córdoba,Chimá,23168, 7 ,Cálido seco
Córdoba,Lorica,23417, 7 ,Cálido seco
Chocó,Atrato (Yuto),27050, 7 ,Cálido húmedo
Magdalena,El Piñon,47258, 7 ,Cálido seco
Magdalena,Remolino,47605, 7 ,Cálido seco
Valle del Cauca,Buenaventura,76109, 7 ,Cálido húmedo
Antioquia,Necoclí,5490, 8 ,Cálido húmedo
Atlántico,Candelaria,8141, 8 ,Cálido húmedo
Atlántico,Santa Lucía,8675, 8 ,Cálido húmedo
Atlántico,Santo Tomás,8685, 8 ,Cálido húmedo
Atlántico,Suan,8770, 8 ,Cálido húmedo
Córdoba,San Pelayo,23686, 8 ,Cálido seco
Chocó,Bagadó,27073, 8 ,Cálido húmedo
Atlántico,Repelón,8606, 9 ,Cálido húmedo
Atlántico,Sabanagrande,8634, 9 ,Cálido húmedo
Chocó,Bahía Solano (Mútis),27075, 9 ,Cálido húmedo
Antioquia,San Juan de Urabá,5659, 10 ,Cálido húmedo
Atlántico,Malambo,8433, 10 ,Cálido húmedo
Atlántico,Manatí,8436, 10 ,Cálido húmedo
Atlántico,Palmar de Varela,8520, 10 ,Cálido húmedo
Atlántico,Ponedera,8560, 10 ,Cálido húmedo
Bolívar,Calamar,13140, 10 ,Cálido húmedo
Bolívar,Mahates,13433, 10 ,Cálido húmedo
Bolívar,Soplaviento,13760, 10 ,Cálido húmedo
Chocó,Bajo Baudó (Pizarro),27077, 10 ,Cálido húmedo
Magdalena,Fundación,47288, 10 ,Cálido seco
Nariño,Santa Bárbara (Iscuandé),52696, 10 ,Frío
Córdoba,Monteria,23001, 11 ,Cálido seco
Magdalena,Cerro San Antonio,47161, 11 ,Cálido húmedo
Chocó,Bojayá (Bellavista),27099, 12 ,Cálido húmedo
Magdalena,Concordia,47205, 12 ,Cálido húmedo
Magdalena,Pedraza,47541, 12 ,Cálido húmedo
Córdoba,Ciénaga de Oro,23189, 13 ,Cálido seco
Chocó,Cantón de San Pablo,27135, 13 ,Cálido húmedo
Bolívar,María la Baja,13442, 14 ,Cálido seco
Chocó,Carmen del Darién (CURBARADÓ),27150, 14 ,Cálido húmedo
Tolima,Fresno,73283, 14 ,Templado
Córdoba,Cereté,23162, 15 ,Cálido seco
Chocó,Cértegui,27160, 15 ,Cálido húmedo
Bolívar,Mompós,13468, 16 ,Cálido húmedo
Chocó,Condoto,27205, 16 ,Cálido húmedo
Córdoba,Momil,23464, 17 ,Cálido seco
Chocó,El Carmen de Atrato,27245, 17 ,Cálido húmedo
Chocó,Istmina,27361, 18 ,Cálido húmedo
Chocó,Ríosucio,27615, 18 ,Cálido húmedo
Magdalena,Santa Marta,47001, 18 ,Cálido seco
Sucre,Sucre,70771, 18 ,Cálido húmedo
Bolívar,Magangué,13430, 19 ,Cálido seco
Chocó,Juradó,27372, 19 ,Cálido húmedo
Bolívar,Cicuco,13188, 20 ,Cálido seco
Bolívar,Córdoba,13212, 20 ,Cálido seco
Bolívar,Santa Rosa,13683, 20 ,Frío
Bolívar,Zambrano,13894, 20 ,Cálido seco
Córdoba,Ayapel,23068, 20 ,Cálido húmedo
Córdoba,Purísima,23586, 20 ,Cálido seco
Magdalena,Nueva Granada,47460, 20 ,Cálido seco
Magdalena,Plato,47555, 20 ,Cálido seco
Magdalena,Tenerife,47798, 20 ,Cálido seco
Magdalena,Zapayán (PUNTA DE PIEDRAS),47960, 20 ,Cálido húmedo
Nariño,La Tola,52390, 20 ,Cálido húmedo
Nariño,Mosquera,52473, 20 ,Cálido húmedo
Nariño,Olaya Herrera,52490, 20 ,Cálido húmedo
Bolívar,Altos del Rosario,13030, 21 ,Cálido húmedo
Chocó,Medio San Juan (ANDAGOYA),27450, 22 ,Cálido húmedo
Chocó,Unguía,27800, 22 ,Cálido húmedo
Magdalena,Santa Bárbara de Pinto,47720, 22 ,Cálido seco
Antioquia,Murindó,5475, 23 ,Cálido húmedo
Atlántico,Barranquilla,8001, 24 ,Cálido húmedo
Bolívar,Tiquisio (Puerto Rico),13810, 24 ,Cálido húmedo
Nariño,Roberto Payán (San José),52621, 24 ,Cálido húmedo
Antioquia,Vigía del Fuerte,5873, 25 ,Cálido húmedo
Bolívar,Achí,13006, 25 ,Cálido húmedo
Bolívar,Barranco de Loba,13074, 25 ,Cálido seco
Bolívar,Margarita,13440, 25 ,Cálido húmedo
Bolívar,Morales,13473, 25 ,Cálido seco
Bolívar,Pinillos,13549, 25 ,Cálido seco
Bolívar,San Fernando,13650, 25 ,Cálido seco
Córdoba,San Carlos,23678, 25 ,Cálido seco
Magdalena,Ciénaga,47189, 25 ,Cálido seco
Magdalena,El Banco,47245, 25 ,Cálido seco
Magdalena,Guamal,47318, 25 ,Cálido seco
Magdalena,Pijiño,47545, 25 ,Cálido seco
Magdalena,San Sebastián de Buenavista,47692, 25 ,Cálido seco
Magdalena,San Zenón,47703, 25 ,Cálido seco
Magdalena,Santa Ana,47707, 25 ,Cálido seco
Sucre,Caimito,70124, 25 ,Cálido seco
Sucre,Majagual,70429, 25 ,Cálido húmedo
Sucre,San Benito Abad,70678, 25 ,Cálido seco
Sucre,San Marcos,70708, 25 ,Cálido seco
Antioquia,Carepa,5147, 28 ,Cálido húmedo
Bolívar,Hatillo de Loba,13300, 28 ,Cálido húmedo
Bolívar,Arroyohondo,13062, 29 ,Cálido húmedo
Bolívar,El Peñon,13268, 29 ,Cálido húmedo
Antioquia,Nechí,5495, 30 ,Cálido húmedo
Antioquia,Yondó (Casabe),5893, 30 ,Cálido húmedo
Bolívar,San Martín de Loba,13667, 30 ,Cálido húmedo
Córdoba,Puerto Escondido,23574, 30 ,Cálido seco
Magdalena,Zona Bananera (PRADO - SEVILLA),47980, 30 ,Cálido seco
Sucre,San Onofre,70713, 30 ,Cálido seco
Atlántico,Luruaco,8421, 31 ,Cálido húmedo
Antioquia,Apartadó,5045, 32 ,Cálido húmedo
Chocó,Río Quito,27600, 33 ,Cálido húmedo
Antioquia,Chigorodó,5172, 34 ,Cálido húmedo
Bolívar,Santa Catalina,13673, 34 ,Cálido húmedo
Cesar,El Paso,20250, 36 ,Cálido seco
Nariño,Barbacoas,52079, 36 ,Cálido húmedo
Bolívar,Regidor,13580, 38 ,Templado
Bolívar,Arenal,13042, 39 ,Cálido húmedo
Córdoba,Los Córdobas,23419, 40 ,Cálido seco
La Guajira,Barrancas,44078, 40 ,Cálido seco
Magdalena,Aracataca,47053, 40 ,Cálido seco
Magdalena,El Retén,47268, 40 ,Cálido húmedo
Sucre,Palmito,70523, 40 ,Cálido seco
Chocó,Quibdó,27001, 43 ,Cálido húmedo
Córdoba,Montelíbano,23466, 44 ,Cálido húmedo
Bolívar,Montecristo,13458, 45 ,Cálido húmedo
Córdoba,Valencia,23855, 49 ,Cálido seco
Antioquia,Arboletes,5051, 50 ,Cálido húmedo
Antioquia,Caucasia,5154, 50 ,Cálido húmedo
Atlántico,Juan de Acosta,8372, 50 ,Cálido húmedo
Bolívar,Río Viejo,13600, 50 ,Cálido húmedo
Bolívar,Simití,13744, 50 ,Cálido húmedo
Cesar,Chiriguaná,20178, 50 ,Cálido seco
Cesar,Gamarra,20295, 50 ,Cálido húmedo
Cesar,La Gloria,20383, 50 ,Cálido húmedo
Cesar,San Alberto,20710, 50 ,Templado
Cesar,Tamalameque,20787, 50 ,Cálido húmedo
Córdoba,Canalete,23090, 50 ,Cálido seco
Córdoba,Cotorra,23300, 50 ,Cálido seco
Córdoba,La Apartada y La Frontera,23350, 50 ,Cálido húmedo
Chocó,Alto Baudó (Pie de Pato),27025, 50 ,Cálido húmedo
Chocó,Sipí,27745, 50 ,Cálido húmedo
La Guajira,Hatonuevo,44378, 50 ,Cálido seco
Córdoba,Tierralta,23807, 51 ,Cálido húmedo
Vichada,Puerto Carreño,99001, 51 ,Cálido húmedo
Antioquia,Zaragoza,5895, 52 ,Cálido húmedo
La Guajira,Maicao,44430, 52 ,Cálido seco
Chocó,Medio Atrato,27425, 54 ,Cálido húmedo
Bolívar,Cantagallo,13160, 59 ,Cálido húmedo
La Guajira,Fonseca,44279, 60 ,Cálido seco
Sucre,Tolú Viejo,70823, 60 ,Cálido seco
Cesar,Curumaní,20228, 62 ,Templado
Bolívar,Arjona,13052, 63 ,Cálido húmedo
Bolívar,Clemencia,13222, 64 ,Cálido húmedo
La Guajira,Distracción,44098, 65 ,Cálido seco
Nariño,Francisco Pizarro,52520, 65 ,Cálido húmedo
Sucre,La Unión,70400, 65 ,Cálido seco
Córdoba,Puerto Libertador,23580, 66 ,Cálido húmedo
Cesar,Pelaya,20550, 68 ,Cálido húmedo
Chocó,Lloró,27413, 69 ,Cálido húmedo
Córdoba,Sahagún,23660, 71 ,Cálido seco
La Guajira,Uribia,44847, 71 ,Cálido seco
Bolívar,San Pablo,13670, 75 ,Cálido húmedo
Córdoba,Buenavista,23079, 75 ,Cálido húmedo
La Guajira,Albania,44035, 75 ,Cálido seco
Magdalena,Sabanas de San Angel (SAN ANGEL),47660, 75 ,Cálido seco
Norte de Santander,Tibú,54810, 75 ,Cálido húmedo
Santander,Puerto Wilches,68575, 75 ,Cálido húmedo
Santander,Barrancabermeja,68081, 76 ,Cálido húmedo
Bolívar,El Guamo,13248, 77 ,Cálido seco
Cesar,Pailitas,20517, 77 ,Templado
Atlántico,Polonuevo,8558, 80 ,Cálido húmedo
Sucre,Galeras (Nueva Granada),70235, 80 ,Cálido seco
Atlántico,Galapa,8296, 83 ,Cálido húmedo
Córdoba,San José de Uré,23682, 84 ,Cálido húmedo
Cesar,Astrea,20032, 85 ,Cálido húmedo
Córdoba,Planeta Rica,23555, 87 ,Cálido húmedo
Sucre,Buenavista,70110, 87 ,Cálido seco
Bolívar,San Cristobal,13620, 89 ,Cálido seco
Chocó,Tadó,27787, 90 ,Cálido húmedo
Atlántico,Usiacuri,8849, 95 ,Cálido húmedo
Amazonas,Leticia,91001, 96 ,Cálido húmedo
Guainía,Inírida,94001, 98 ,Cálido húmedo
Atlántico,Sabanalarga,8638, 99 ,Cálido húmedo
Risaralda,La Virginia,66400, 99 ,Cálido húmedo
Antioquia,San Andrés de Cuerquía,5647, 100 ,Cálido húmedo
Atlántico,Baranoa,8078, 100 ,Cálido húmedo
Bolívar,Turbaco,13836, 100 ,Cálido seco
Bolívar,Villanueva,13873, 100 ,Cálido húmedo
Cauca,López (Micay),19418, 100 ,Cálido húmedo
Córdoba,San Andrés Sotavento,23670, 100 ,Cálido seco
Chocó,Novita,27491, 100 ,Cálido húmedo
Magdalena,Algarrobo,47030, 100 ,Cálido seco
Norte de Santander,Puerto Santander,54553, 100 ,Cálido húmedo
Santander,Puerto Parra,68573, 100 ,Cálido húmedo
Sucre,Guaranda,70265, 100 ,Cálido seco
Arauca,Cravo Norte,81220, 100 ,Cálido húmedo
Vaupés,Taraira,97666, 100 ,Cálido húmedo
Vichada,La Primavera,99524, 100 ,Cálido húmedo
Córdoba,Chinú,23182, 103 ,Cálido seco
Chocó,Río Iró,27580, 103 ,Cálido húmedo
Cauca,Piamonte,19533, 108 ,Cálido húmedo
Córdoba,Pueblo Nuevo,23570, 108 ,Cálido seco
Santander,Sabana de Torres,68655, 110 ,Cálido seco
Cesar,San Martín,20770, 112 ,Templado
Vichada,Cumaribo,99773, 114 ,Cálido húmedo
Cesar,Bosconia,20060, 117 ,Cálido seco
Santander,San Gíl,68679, 117 ,Cálido seco
Chocó,Unión Panamericana (ÁNIMAS),27810, 119 ,Cálido húmedo
Bolívar,Turbaná,13838, 120 ,Cálido seco
Cesar,Chimichagua,20175, 120 ,Templado
Sucre,San Pedro,70717, 120 ,Cálido seco
Amazonas,Puerto Nariño,91540, 120 ,Cálido húmedo
Antioquia,Puerto Berrío,5579, 125 ,Cálido húmedo
Antioquia,Tarazá,5790, 125 ,Cálido húmedo
Arauca,Arauca,81001, 125 ,Cálido húmedo
Arauca,Puerto Rondón,81591, 125 ,Cálido húmedo
Magdalena,Chivolo,47170, 128 ,Cálido húmedo
Cesar,Agustín Codazzi,20013, 131 ,Cálido húmedo
Sucre,El Roble,70233, 135 ,Cálido seco
Sucre,San Juan de Betulia,70702, 135 ,Cálido seco
Sucre,Sincé,70742, 137 ,Cálido seco
Antioquia,Puerto Nare,5585, 140 ,Cálido húmedo
Bolívar,Norosí,13490, 142 ,Cálido húmedo
Sucre,Corozal,70215, 142 ,Cálido seco
Casanare,Orocué,85230, 143 ,Cálido húmedo
Boyacá,Puerto Boyacá,15572, 145 ,Cálido húmedo
Cesar,Valledupar,20001, 148 ,Cálido seco
Meta,Puerto Gaitán,50568, 149 ,Cálido húmedo
Antioquia,Cáceres,5120, 150 ,Cálido húmedo
Antioquia,El Bagre,5250, 150 ,Cálido húmedo
Antioquia,Puerto Triunfo,5591, 150 ,Cálido húmedo
Cesar,Becerríl,20045, 150 ,Templado
Cesar,La Jagua de Ibirico,20400, 150 ,Templado
Sucre,Colosó (Ricaurte),70204, 150 ,Cálido seco
Vichada,Santa Rosalía,99624, 150 ,Cálido húmedo
Bolívar,San Juan de Nepomuceno,13657, 156 ,Cálido seco
Bolívar,El Carmen de Bolívar,13244, 157 ,Cálido seco
Cesar,La Paz (Robles),20621, 157 ,Cálido seco
Bolívar,San Estanislao,13647, 160 ,Cálido seco
Norte de Santander,El Tarra,54250, 160 ,Templado
Sucre,Morroa,70473, 160 ,Cálido seco
Sucre,Sampués,70670, 160 ,Cálido seco
Guaviare,Miraflores,95200, 160 ,Cálido húmedo
Cesar,Aguachica,20011, 162 ,Templado
Arauca,Arauquita,81065, 165 ,Cálido húmedo
Magdalena,Ariguaní (El Difícil),47058, 175 ,Cálido seco
Sucre,Los Palmitos,70418, 175 ,Cálido seco
Guaviare,San José del Guaviare,95001, 175 ,Cálido húmedo
Caldas,La Dorada,17380, 176 ,Cálido húmedo
Cundinamarca,Puerto Salgar,25572, 177 ,Cálido húmedo
Meta,Puerto López,50573, 178 ,Cálido húmedo
Cesar,El Copey,20238, 180 ,Cálido húmedo
Cesar,San Diego,20750, 180 ,Cálido seco
Risaralda,Guática,66318, 182 ,Cálido húmedo
Casanare,Trinidad,85430, 187 ,Cálido húmedo
Guaviare,El Retorno,95025, 190 ,Cálido húmedo
Sucre,Sincelejo,70001, 197 ,Cálido seco
Caquetá,Solano,18756, 200 ,Cálido húmedo
Meta,Mapiripan,50325, 200 ,Cálido húmedo
Meta,Puerto Concordia,50450, 200 ,Cálido húmedo
Nariño,El Peñol,52254, 200 ,Templado
Santander,Cimitarra,68190, 200 ,Cálido húmedo
Casanare,Maní,85139, 200 ,Cálido húmedo
Casanare,San Luís de Palenque,85325, 200 ,Cálido húmedo
Putumayo,Puerto Leguízamo,86573, 200 ,Cálido húmedo
Vaupés,Mitú,97001, 200 ,Cálido húmedo
Vaupés,Carurú,97161, 200 ,Cálido húmedo
Atlántico,Tubará,8832, 203 ,Cálido húmedo
Caquetá,Milán,18460, 210 ,Cálido húmedo
Meta,Puerto Rico,50590, 210 ,Cálido húmedo
Putumayo,Puerto Guzmán,86571, 218 ,Cálido húmedo
Norte de Santander,El Zulia,54261, 220 ,Cálido seco
Santander,Málaga,68432, 220 ,Templado
Guaviare,Calamar,95015, 220 ,Cálido húmedo
Caquetá,Curillo,18205, 225 ,Cálido húmedo
Cundinamarca,Beltrán,25086, 231 ,Templado
Santander,El Playón,68255, 232 ,Frío
Meta,La Macarena,50350, 233 ,Cálido húmedo
Meta,Cabuyaro,50124, 235 ,Cálido húmedo
Norte de Santander,San Cayetano,54673, 235 ,Cálido seco
Bolívar,San Jacinto,13654, 237 ,Cálido seco
Bolívar,San Jacinto del Cauca,13655, 237 ,Cálido húmedo
Antioquia,Mutatá,5480, 238 ,Cálido húmedo
La Guajira,El Molino,44110, 240 ,Cálido seco
Tolima,Ambalema,73030, 241 ,Cálido húmedo
Caquetá,La Montañita,18410, 243 ,Cálido húmedo
Antioquia,San Pedro de Urabá,5665, 247 ,Cálido húmedo
Caquetá,Puerto Rico,18592, 249 ,Cálido húmedo
La Guajira,San Juan del Cesar,44650, 250 ,Cálido seco
La Guajira,Villanueva,44874, 250 ,Cálido seco
Meta,Puerto Lleras,50577, 250 ,Cálido húmedo
Norte de Santander,Lourdes,54418, 250 ,Templado
Casanare,Hato Corozal,85125, 250 ,Cálido húmedo
Casanare,Pore,85263, 250 ,Cálido húmedo
Putumayo,Puerto Asís,86568, 250 ,Cálido húmedo
Cundinamarca,Guataquí,25324, 255 ,Cálido seco
Tolima,Honda,73349, 255 ,Cálido húmedo
Caquetá,Morelia,18479, 258 ,Cálido húmedo
Cundinamarca,Nariño,25483, 263 ,Templado
Meta,Barranca de Upía,50110, 264 ,Cálido húmedo
Sucre,Ovejas,70508, 265 ,Cálido seco
Cundinamarca,Girardot,25307, 275 ,Cálido seco
Casanare,Paz de Ariporo,85250, 275 ,Cálido húmedo
Caquetá,San Vicente del Caguán,18753, 280 ,Templado
La Guajira,Urumita,44855, 280 ,Cálido seco
Sucre,Chalán,70230, 280 ,Cálido seco
Cundinamarca,Ricaurte,25612, 284 ,Cálido seco
Tolima,Flandes,73275, 285 ,Cálido seco
Cauca,Suárez,19780, 290 ,Templado
Tolima,Suárez,73770, 290 ,Templado
Casanare,Aguazul,85010, 290 ,Cálido húmedo
Putumayo,Puerto Caicedo,86569, 290 ,Cálido húmedo
Putumayo,San Miguel,86757, 290 ,Cálido húmedo
Tolima,Murillo,73461, 293 ,Cálido seco
Norte de Santander,Cúcuta,54001, 297 ,Cálido seco
Caquetá,Cartagena del Chairá,18150, 300 ,Cálido húmedo
Cundinamarca,Paratebueno,25530, 300 ,Cálido húmedo
La Guajira,La Jagua del Pilar,44420, 300 ,Cálido seco
Norte de Santander,Sardinata,54720, 300 ,Cálido húmedo
Arauca,Fortúl,81300, 300 ,Cálido húmedo
Tolima,Armero (Guayabal),73055, 310 ,Cálido húmedo
Tolima,Saldaña,73671, 310 ,Templado
Putumayo,Orito,86320, 310 ,Cálido húmedo
Caquetá,Belén de los Andaquíes,18094, 312 ,Cálido húmedo
Atlántico,Piojo,8549, 314 ,Cálido húmedo
Putumayo,Valle del Guamuez,86865, 316 ,Cálido húmedo
Tolima,Guamo,73319, 321 ,Cálido húmedo
Tolima,Prado,73563, 321 ,Cálido húmedo
Tolima,Espinal,73268, 323 ,Cálido seco
Tolima,Melgar,73449, 323 ,Cálido seco
Tolima,Natagaima,73483, 326 ,Cálido seco
Tolima,Carmen de Apicalá,73148, 328 ,Templado
Tolima,Purificación,73585, 329 ,Cálido húmedo
Cundinamarca,Nilo,25488, 336 ,Templado
Tolima,Coello,73200, 339 ,Cálido seco
Arauca,Tame,81794, 340 ,Templado
Caquetá,El Paujil,18256, 346 ,Cálido húmedo
Tolima,Venadillo,73861, 348 ,Cálido seco
Caquetá,Solita,18785, 350 ,Cálido húmedo
